"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ABM_RankingTask_2015_new2.nlogo"
"experiment"
"05/14/2024 12:49:47:362 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","23","0","10"
"[run number]","team_size","game_size","[step]","team_size","game_size","mu_agree","sd_agree","mu_talk","sd_talk","mu_crit","sd_crit","reached_consensus?","team_score","gain_score","synergy_score"
"240","5","4","12","5","4","2","2","2","2","0","0.5","true","-0.333","-0.3996","-1"
"241","5","4","5","5","4","2","2","2","2","0","0.5","true","-0.667","-0.8004","-1.334"
"243","5","4","8","5","4","2","2","2","2","0","0.5","true","0.333","0.1996","-0.334"
"242","5","4","10","5","4","2","2","2","2","0","0.5","true","0.333","0.19940000000000002","-0.334"
"244","5","4","8","5","4","2","2","2","2","0","0.5","true","-0.333","0.20060000000000006","-0.333"
"246","5","4","5","5","4","2","2","2","2","0","0.5","true","0.333","0.333","0"
"245","5","4","10","5","4","2","2","2","2","0","0.5","true","0.667","0.9336","0.667"
"247","5","4","9","5","4","2","2","2","2","0","0.5","true","0.333","0.333","-0.667"
"248","5","4","5","5","4","2","2","2","2","0","0.5","true","0.333","0.5998000000000001","0"
"251","5","4","7","5","4","2","2","2","2","0","0.5","true","-0.333","0.13380000000000009","-0.666"
"249","5","4","6","5","4","2","2","2","2","0","0.5","true","0","0","-0.667"
"250","5","4","6","5","4","2","2","2","2","0","0.5","true","0.333","0.46620000000000006","0.333"
"252","5","4","5","5","4","2","2","2","2","0","0.5","true","0","-0.2","-0.667"
"253","5","4","5","5","4","2","2","2","2","0","0.5","true","0.333","0.2664","0"
"254","5","4","7","5","4","2","2","2","2","0","0.5","true","-0.667","-0.5338","-1.334"
"255","5","4","7","5","4","2","2","2","2","0","0.5","true","0.333","0.1996","-0.334"
"256","5","4","4","5","4","2","2","2","2","0","0.5","true","0.667","0.267","0"
"258","5","4","5","5","4","2","2","2","2","0","0.5","true","0.667","0.467","0"
"257","5","4","13","5","4","2","2","2","2","0","0.5","true","0.667","0.46720000000000006","-0.33299999999999996"
"260","5","4","5","5","4","2","2","2","2","0","0.5","true","-1","-0.7334","-1"
"259","5","4","6","5","4","2","2","2","2","0","0.5","true","1","0.7334","0"
"261","5","4","9","5","4","2","2","2","2","0","0.5","true","-0.667","-0.9338000000000001","-1.667"
"262","5","4","14","5","4","2","2","2","2","0","0.5","true","-0.333","-0.13320000000000004","-1"
"263","5","4","8","5","4","2","2","2","2","0","0.5","false","0","0","0"
"265","5","4","6","5","4","2","2","2","2","0","0.5","true","-0.333","-0.5998000000000001","-1"
"264","5","4","7","5","4","2","2","2","2","0","0.5","true","0","-0.13360000000000002","-0.667"
"266","5","4","9","5","4","2","2","2","2","0","0.5","true","1","0.9332","0.33299999999999996"
"267","5","4","7","5","4","2","2","2","2","0","0.5","true","-0.333","-0.46640000000000004","-1"
"268","5","4","13","5","4","2","2","2","2","0","0.5","true","1","1.1998","0.33299999999999996"
"270","5","4","7","5","4","2","2","2","2","0","0.5","true","0","-0.13340000000000002","-0.667"
"269","5","4","6","5","4","2","2","2","2","0","0.5","true","0.333","0.533","0"
"271","5","4","5","5","4","2","2","2","2","0","0.5","true","0.333","0.333","-0.334"
"273","5","4","5","5","4","2","2","2","2","0","0.5","true","-0.667","-0.4672","-1.334"
"272","5","4","5","5","4","2","2","2","2","0","0.5","true","1","0.8668","0.667"
"274","5","4","6","5","4","2","2","2","2","0","0.5","true","-0.667","-0.8004","-1.667"
"275","5","4","8","5","4","2","2","2","2","0","0.5","true","-0.667","-0.8004","-1.334"
"276","5","4","7","5","4","2","2","2","2","0","0.5","true","-0.667","-0.4002","-1"
"277","5","4","7","5","4","2","2","2","2","0","0.5","true","-0.667","-0.20020000000000004","-0.667"
"279","5","4","8","5","4","2","2","2","2","0","0.5","true","0","0.0668","-0.667"
"280","5","4","4","5","4","2","2","2","2","0","0.5","true","-0.333","-0.1996","-1.333"
"278","5","4","6","5","4","2","2","2","2","0","0.5","true","0","0","-0.667"
"233","5","4","8","5","4","2","2","2","2","0","0.5","true","0","-0.13319999999999999","-1"
